Date,PSA Sales,Orders,Online Sls %,Carryout %,Papa Rewards Customer Enrollments
2013-12-30,2479.445385,14552,51.23323563,40.18691589,453720
2013-12-31,4257.727404,23195,46.86579255,45.30717827,454383
2014-01-01,3056.406058,17538,54.60225831,36.57771696,455046
2014-01-02,2864.802308,16538,49.81327413,38.24525336,455616
2014-01-03,4387.694135,24525,49.22157619,40.39551478,456442
2014-01-04,4194.014615,23384,48.54971664,39.01813206,457229
2014-01-05,2975.335769,17015,50.84082301,39.15368792,457784
2014-01-06,2850.463654,16319,51.88528034,36.31962743,458408
2014-01-07,2723.274808,16364,49.05070458,41.7318504,459081
2014-01-08,2223.333365,13034,47.05398819,41.5988952,459492
2014-01-09,2369.539615,13710,46.78571933,41.59737418,459934
2014-01-10,4631.105673,25494,48.59138037,42.04910959,460740
2014-01-11,4446.934038,24393,49.21100783,39.44574263,461549
2014-01-12,2845.561538,16188,50.40779432,40.53002224,462028
2014-01-13,1674.339135,10138,47.94307191,40.62931545,462328
2014-01-14,1995.353942,12926,45.46153634,52.78508433,462726
2014-01-15,2095.794423,12007,47.07356702,42.16706921,463063
2014-01-16,2314.955192,13140,45.68847362,41.30136986,463410
2014-01-17,4431.806346,23937,48.34033206,41.66353344,464143
2014-01-18,3967.369423,21470,47.27997931,38.57941313,464806
2014-01-19,3472.284231,19080,51.15212896,38.46436059,465468
2014-01-20,1968.497212,11783,50.883056,40.25290673,465860
2014-01-21,1838.9875,11954,48.12887736,50.26769282,466215
2014-01-22,1915.001731,11051,48.85920971,40.64790517,466520
2014-01-23,2218.275385,12410,48.13161333,39.31506849,466870
2014-01-24,4552.526635,24393,49.54259867,39.71631206,467501
2014-01-25,3915.654808,21172,48.05256317,38.12110334,468131
2014-01-26,2476.181731,14041,47.68365454,39.59831921,468498
2014-01-27,1486.111442,8825,46.47755542,42.28895184,468759
2014-01-28,1552.765962,9801,35.58079918,68.45219876,469088
2014-01-29,1289.773107,6462,17.52849884,76.88022284,469121
2014-01-30,3590.413942,18218,47.7631021,38.2259304,469886
2014-01-31,4546.290769,23292,49.43396798,39.73037953,470818
2014-02-01,4017.05625,20508,48.34212577,39.03354788,471659
2014-02-02,5239.668077,25273,52.24153402,47.06999565,472964
2014-02-03,1651.750192,9955,47.19718629,39.76896032,473270
