Artist,Week,genre,Days to Peak,track,Length,Rank
2 Pac,1st,Rap,14,Baby Don't Cry (Keep Ya Head Up II),4:22,87.0
2 Pac,2nd,Rap,14,Baby Don't Cry (Keep Ya Head Up II),4:22,82.0
2 Pac,3rd,Rap,14,Baby Don't Cry (Keep Ya Head Up II),4:22,72.0
2 Pac,4th,Rap,14,Baby Don't Cry (Keep Ya Head Up II),4:22,77.0
2 Pac,5th,Rap,14,Baby Don't Cry (Keep Ya Head Up II),4:22,87.0
2 Pac,6th,Rap,14,Baby Don't Cry (Keep Ya Head Up II),4:22,94.0
2 Pac,7th,Rap,14,Baby Don't Cry (Keep Ya Head Up II),4:22,99.0
2Ge+her,1st,R&B,7,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,91.0
2Ge+her,2nd,R&B,7,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,87.0
2Ge+her,3rd,R&B,7,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,92.0
3 Doors Down,10th,Rock,42,Loser,4:24,61.0
3 Doors Down,10th,Rock,217,Kryptonite,3:53,51.0
3 Doors Down,11th,Rock,42,Loser,4:24,61.0
3 Doors Down,11th,Rock,217,Kryptonite,3:53,51.0
3 Doors Down,12th,Rock,42,Loser,4:24,59.0
3 Doors Down,12th,Rock,217,Kryptonite,3:53,51.0
3 Doors Down,13th,Rock,42,Loser,4:24,61.0
3 Doors Down,13th,Rock,217,Kryptonite,3:53,47.0
3 Doors Down,14th,Rock,42,Loser,4:24,66.0
3 Doors Down,14th,Rock,217,Kryptonite,3:53,44.0
3 Doors Down,15th,Rock,42,Loser,4:24,72.0
3 Doors Down,15th,Rock,217,Kryptonite,3:53,38.0
3 Doors Down,16th,Rock,42,Loser,4:24,76.0
3 Doors Down,16th,Rock,217,Kryptonite,3:53,28.0
3 Doors Down,17th,Rock,42,Loser,4:24,75.0
3 Doors Down,17th,Rock,217,Kryptonite,3:53,22.0
3 Doors Down,18th,Rock,42,Loser,4:24,67.0
3 Doors Down,18th,Rock,217,Kryptonite,3:53,18.0
3 Doors Down,19th,Rock,42,Loser,4:24,73.0
3 Doors Down,19th,Rock,217,Kryptonite,3:53,18.0
3 Doors Down,1st,Rock,42,Loser,4:24,76.0
3 Doors Down,1st,Rock,217,Kryptonite,3:53,81.0
3 Doors Down,20th,Rock,42,Loser,4:24,70.0
3 Doors Down,20th,Rock,217,Kryptonite,3:53,14.0
3 Doors Down,21st,Rock,217,Kryptonite,3:53,12.0
3 Doors Down,22nd,Rock,217,Kryptonite,3:53,7.0
3 Doors Down,23rd,Rock,217,Kryptonite,3:53,6.0
3 Doors Down,24th,Rock,217,Kryptonite,3:53,6.0
3 Doors Down,25th,Rock,217,Kryptonite,3:53,6.0
3 Doors Down,26th,Rock,217,Kryptonite,3:53,5.0
3 Doors Down,27th,Rock,217,Kryptonite,3:53,5.0
3 Doors Down,28th,Rock,217,Kryptonite,3:53,4.0
3 Doors Down,29th,Rock,217,Kryptonite,3:53,4.0
3 Doors Down,2nd,Rock,42,Loser,4:24,76.0
3 Doors Down,2nd,Rock,217,Kryptonite,3:53,70.0
3 Doors Down,30th,Rock,217,Kryptonite,3:53,4.0
3 Doors Down,31st,Rock,217,Kryptonite,3:53,4.0
3 Doors Down,32nd,Rock,217,Kryptonite,3:53,3.0
3 Doors Down,33rd,Rock,217,Kryptonite,3:53,3.0
3 Doors Down,34th,Rock,217,Kryptonite,3:53,3.0
3 Doors Down,35th,Rock,217,Kryptonite,3:53,4.0
3 Doors Down,36th,Rock,217,Kryptonite,3:53,5.0
3 Doors Down,37th,Rock,217,Kryptonite,3:53,5.0
3 Doors Down,38th,Rock,217,Kryptonite,3:53,9.0
3 Doors Down,39th,Rock,217,Kryptonite,3:53,9.0
3 Doors Down,3rd,Rock,42,Loser,4:24,72.0
3 Doors Down,3rd,Rock,217,Kryptonite,3:53,68.0
3 Doors Down,40th,Rock,217,Kryptonite,3:53,15.0
3 Doors Down,41st,Rock,217,Kryptonite,3:53,14.0
3 Doors Down,42nd,Rock,217,Kryptonite,3:53,13.0
3 Doors Down,43rd,Rock,217,Kryptonite,3:53,14.0
3 Doors Down,44th,Rock,217,Kryptonite,3:53,16.0
3 Doors Down,45th,Rock,217,Kryptonite,3:53,17.0
3 Doors Down,46th,Rock,217,Kryptonite,3:53,21.0
3 Doors Down,47th,Rock,217,Kryptonite,3:53,22.0
3 Doors Down,48th,Rock,217,Kryptonite,3:53,24.0
3 Doors Down,49th,Rock,217,Kryptonite,3:53,28.0
3 Doors Down,4th,Rock,42,Loser,4:24,69.0
3 Doors Down,4th,Rock,217,Kryptonite,3:53,67.0
3 Doors Down,50th,Rock,217,Kryptonite,3:53,33.0
3 Doors Down,51st,Rock,217,Kryptonite,3:53,42.0
3 Doors Down,52nd,Rock,217,Kryptonite,3:53,42.0
3 Doors Down,53rd,Rock,217,Kryptonite,3:53,49.0
3 Doors Down,5th,Rock,42,Loser,4:24,67.0
3 Doors Down,5th,Rock,217,Kryptonite,3:53,66.0
3 Doors Down,6th,Rock,42,Loser,4:24,65.0
3 Doors Down,6th,Rock,217,Kryptonite,3:53,57.0
3 Doors Down,7th,Rock,42,Loser,4:24,55.0
3 Doors Down,7th,Rock,217,Kryptonite,3:53,54.0
3 Doors Down,8th,Rock,42,Loser,4:24,59.0
3 Doors Down,8th,Rock,217,Kryptonite,3:53,53.0
3 Doors Down,9th,Rock,42,Loser,4:24,62.0
3 Doors Down,9th,Rock,217,Kryptonite,3:53,51.0
504 Boyz,10th,Rap,21,Wobble Wobble,3:35,57.0
504 Boyz,11th,Rap,21,Wobble Wobble,3:35,64.0
504 Boyz,12th,Rap,21,Wobble Wobble,3:35,70.0
504 Boyz,13th,Rap,21,Wobble Wobble,3:35,75.0
504 Boyz,14th,Rap,21,Wobble Wobble,3:35,76.0
504 Boyz,15th,Rap,21,Wobble Wobble,3:35,78.0
504 Boyz,16th,Rap,21,Wobble Wobble,3:35,85.0
504 Boyz,17th,Rap,21,Wobble Wobble,3:35,92.0
504 Boyz,18th,Rap,21,Wobble Wobble,3:35,96.0
504 Boyz,1st,Rap,21,Wobble Wobble,3:35,57.0
504 Boyz,2nd,Rap,21,Wobble Wobble,3:35,34.0
504 Boyz,3rd,Rap,21,Wobble Wobble,3:35,25.0
504 Boyz,4th,Rap,21,Wobble Wobble,3:35,17.0
504 Boyz,5th,Rap,21,Wobble Wobble,3:35,17.0
504 Boyz,6th,Rap,21,Wobble Wobble,3:35,31.0
504 Boyz,7th,Rap,21,Wobble Wobble,3:35,36.0
504 Boyz,8th,Rap,21,Wobble Wobble,3:35,49.0
504 Boyz,9th,Rap,21,Wobble Wobble,3:35,53.0
98,10th,Rock,42,Give Me Just One Night (Una Noche),3:24,6.0
98,11th,Rock,42,Give Me Just One Night (Una Noche),3:24,7.0
98,12th,Rock,42,Give Me Just One Night (Una Noche),3:24,22.0
98,13th,Rock,42,Give Me Just One Night (Una Noche),3:24,29.0
98,14th,Rock,42,Give Me Just One Night (Una Noche),3:24,36.0
98,15th,Rock,42,Give Me Just One Night (Una Noche),3:24,47.0
98,16th,Rock,42,Give Me Just One Night (Una Noche),3:24,67.0
98,17th,Rock,42,Give Me Just One Night (Una Noche),3:24,66.0
98,18th,Rock,42,Give Me Just One Night (Una Noche),3:24,84.0
98,19th,Rock,42,Give Me Just One Night (Una Noche),3:24,93.0
98,1st,Rock,42,Give Me Just One Night (Una Noche),3:24,51.0
98,20th,Rock,42,Give Me Just One Night (Una Noche),3:24,94.0
98,2nd,Rock,42,Give Me Just One Night (Una Noche),3:24,39.0
98,3rd,Rock,42,Give Me Just One Night (Una Noche),3:24,34.0
98,4th,Rock,42,Give Me Just One Night (Una Noche),3:24,26.0
98,5th,Rock,42,Give Me Just One Night (Una Noche),3:24,26.0
98,6th,Rock,42,Give Me Just One Night (Una Noche),3:24,19.0
98,7th,Rock,42,Give Me Just One Night (Una Noche),3:24,2.0
98,8th,Rock,42,Give Me Just One Night (Una Noche),3:24,2.0
98,9th,Rock,42,Give Me Just One Night (Una Noche),3:24,3.0
A*Teens,1st,Pop,21,Dancing Queen,3:44,97.0
A*Teens,2nd,Pop,21,Dancing Queen,3:44,97.0
A*Teens,3rd,Pop,21,Dancing Queen,3:44,96.0
A*Teens,4th,Pop,21,Dancing Queen,3:44,95.0
A*Teens,5th,Pop,21,Dancing Queen,3:44,100.0
Aaliyah,10th,Rock,35,I Don't Wanna,4:15,36.0
Aaliyah,10th,Rock,91,Try Again,4:03,10.0
Aaliyah,11th,Rock,35,I Don't Wanna,4:15,37.0
Aaliyah,11th,Rock,91,Try Again,4:03,9.0
Aaliyah,12th,Rock,35,I Don't Wanna,4:15,37.0
Aaliyah,12th,Rock,91,Try Again,4:03,8.0
Aaliyah,13th,Rock,35,I Don't Wanna,4:15,38.0
Aaliyah,13th,Rock,91,Try Again,4:03,6.0
Aaliyah,14th,Rock,35,I Don't Wanna,4:15,49.0
Aaliyah,14th,Rock,91,Try Again,4:03,1.0
Aaliyah,15th,Rock,35,I Don't Wanna,4:15,61.0
Aaliyah,15th,Rock,91,Try Again,4:03,2.0
Aaliyah,16th,Rock,35,I Don't Wanna,4:15,63.0
Aaliyah,16th,Rock,91,Try Again,4:03,2.0
Aaliyah,17th,Rock,35,I Don't Wanna,4:15,62.0
Aaliyah,17th,Rock,91,Try Again,4:03,2.0
Aaliyah,18th,Rock,35,I Don't Wanna,4:15,67.0
Aaliyah,18th,Rock,91,Try Again,4:03,2.0
Aaliyah,19th,Rock,35,I Don't Wanna,4:15,83.0
Aaliyah,19th,Rock,91,Try Again,4:03,3.0
Aaliyah,1st,Rock,35,I Don't Wanna,4:15,84.0
Aaliyah,1st,Rock,91,Try Again,4:03,59.0
Aaliyah,20th,Rock,35,I Don't Wanna,4:15,86.0
Aaliyah,20th,Rock,91,Try Again,4:03,4.0
Aaliyah,21st,Rock,91,Try Again,4:03,5.0
Aaliyah,22nd,Rock,91,Try Again,4:03,5.0
Aaliyah,23rd,Rock,91,Try Again,4:03,6.0
Aaliyah,24th,Rock,91,Try Again,4:03,9.0
Aaliyah,25th,Rock,91,Try Again,4:03,13.0
Aaliyah,26th,Rock,91,Try Again,4:03,14.0
Aaliyah,27th,Rock,91,Try Again,4:03,16.0
Aaliyah,28th,Rock,91,Try Again,4:03,23.0
Aaliyah,29th,Rock,91,Try Again,4:03,22.0
Aaliyah,2nd,Rock,35,I Don't Wanna,4:15,62.0
Aaliyah,2nd,Rock,91,Try Again,4:03,53.0
Aaliyah,30th,Rock,91,Try Again,4:03,33.0
Aaliyah,31st,Rock,91,Try Again,4:03,36.0
Aaliyah,32nd,Rock,91,Try Again,4:03,43.0
Aaliyah,3rd,Rock,35,I Don't Wanna,4:15,51.0
Aaliyah,3rd,Rock,91,Try Again,4:03,38.0
Aaliyah,4th,Rock,35,I Don't Wanna,4:15,41.0
Aaliyah,4th,Rock,91,Try Again,4:03,28.0
Aaliyah,5th,Rock,35,I Don't Wanna,4:15,38.0
Aaliyah,5th,Rock,91,Try Again,4:03,21.0
Aaliyah,6th,Rock,35,I Don't Wanna,4:15,35.0
Aaliyah,6th,Rock,91,Try Again,4:03,18.0
Aaliyah,7th,Rock,35,I Don't Wanna,4:15,35.0
Aaliyah,7th,Rock,91,Try Again,4:03,16.0
Aaliyah,8th,Rock,35,I Don't Wanna,4:15,38.0
Aaliyah,8th,Rock,91,Try Again,4:03,14.0
Aaliyah,9th,Rock,35,I Don't Wanna,4:15,38.0
Aaliyah,9th,Rock,91,Try Again,4:03,12.0
"Adams, Yolanda",10th,Gospel,56,Open My Heart,5:30,59.0
"Adams, Yolanda",11th,Gospel,56,Open My Heart,5:30,66.0
"Adams, Yolanda",12th,Gospel,56,Open My Heart,5:30,68.0
"Adams, Yolanda",13th,Gospel,56,Open My Heart,5:30,61.0
"Adams, Yolanda",14th,Gospel,56,Open My Heart,5:30,67.0
"Adams, Yolanda",15th,Gospel,56,Open My Heart,5:30,59.0
"Adams, Yolanda",16th,Gospel,56,Open My Heart,5:30,63.0
"Adams, Yolanda",17th,Gospel,56,Open My Heart,5:30,67.0
"Adams, Yolanda",18th,Gospel,56,Open My Heart,5:30,71.0
"Adams, Yolanda",19th,Gospel,56,Open My Heart,5:30,79.0
"Adams, Yolanda",1st,Gospel,56,Open My Heart,5:30,76.0
"Adams, Yolanda",20th,Gospel,56,Open My Heart,5:30,89.0
"Adams, Yolanda",2nd,Gospel,56,Open My Heart,5:30,76.0
"Adams, Yolanda",3rd,Gospel,56,Open My Heart,5:30,74.0
"Adams, Yolanda",4th,Gospel,56,Open My Heart,5:30,69.0
"Adams, Yolanda",5th,Gospel,56,Open My Heart,5:30,68.0
"Adams, Yolanda",6th,Gospel,56,Open My Heart,5:30,67.0
"Adams, Yolanda",7th,Gospel,56,Open My Heart,5:30,61.0
"Adams, Yolanda",8th,Gospel,56,Open My Heart,5:30,58.0
"Adams, Yolanda",9th,Gospel,56,Open My Heart,5:30,57.0
"Adkins, Trace",10th,Country,49,More,3:05,83.0
"Adkins, Trace",11th,Country,49,More,3:05,92.0
"Adkins, Trace",1st,Country,49,More,3:05,84.0
"Adkins, Trace",2nd,Country,49,More,3:05,84.0
"Adkins, Trace",3rd,Country,49,More,3:05,75.0
"Adkins, Trace",4th,Country,49,More,3:05,73.0
"Adkins, Trace",5th,Country,49,More,3:05,73.0
"Adkins, Trace",6th,Country,49,More,3:05,69.0
"Adkins, Trace",7th,Country,49,More,3:05,68.0
"Adkins, Trace",8th,Country,49,More,3:05,65.0
"Adkins, Trace",9th,Country,49,More,3:05,73.0
"Aguilera, Christina",10th,Rock,49,What A Girl Wants,3:18,2.0
"Aguilera, Christina",10th,Rock,70,Come On Over Baby (All I Want Is You),3:38,11.0
"Aguilera, Christina",10th,Rock,77,I Turn To You,4:00,17.0
"Aguilera, Christina",11th,Rock,49,What A Girl Wants,3:18,2.0
