City,Company,Summary,Title,Salary
San Francisco,Workbridge Associates,"Familiarity with data visualization, web analytics and modeling. 5+ years experience in machine learning and big data technologies (Hadoop or Spark preferred)....",Senior Level Data Scientist,142500
San Francisco,Workbridge Associates,"Experience with big data stack technologies, such as Hadoop or Spark. Strong skills in machine learning will be implemented to process and analyze this data....",Mid-Level Data Scientist,130000
San Francisco,MarkMonitor,"Data skills (SQL, Hive, Pig). Applying machine learning to classification problems on unstructured data. MarkMonitor&mdash;the world leader in brand protection...",Data Scientist,180000
San Francisco,Mines.io,We are looking for a data scientist/developer to fill a cross-functional role on our small team. We expect you to be able to work and experiment with large data...,Full-Stack Data Scientist,100000
San Francisco,Selby Jennings,"Integrate data and control APIs utilzing 3rd party biz apps. One of our largest start-up clients, a rapidly growing Bay Area startup, is looking to add an...",Business Intelligence/Data Scientist at VC Bay Area Start-up,160000
San Francisco,Workbridge Associates,3+ years as a Data Scientist required. FinTech start-up in the personal loan space in looking to bring on a Senior Data Scientist to add to their growing team....,Senior Data Scientist (FinTech),152500
San Francisco,Workbridge Associates,"There is a small team of Data Engineers and Data Scientists, and they are looking for similar-minded individuals that seek learning opportunities and a...",Mid-Level Data Engineer,135000
San Francisco,Workbridge Associates,A well-known San Francisco gaming company is looking to add a Senior Data Scientist to their team. They are looking for someone to build new products using...,Senior Data Scientist,165000
San Francisco,California State University,Compile and analyze data for written reports and presentations. Analyze data and make accurate projections using standard budgeting and accounting practices;...,"Administrative Analyst/Specialist, Exempt I - Office of Rese...",55200
San Francisco,University of California Berkeley,"Must be able to work in a greenhouse, manage data sets utilizing Excel, and follow research protocols and regulatory guidelines with exactness....","Staff Research Associate, PMB",3850
San Francisco,Workbridge Associates,In this position you will share programming and mathematical challenges with fellow data scientists. A San Francisco-based retail startup is looking to bring on...,Data Scientist,165000
San Francisco,Smith Hanley Associates,"This person will recruit, build and lead a team of Data Scientists. Top technology firm in the Bay Area seeks a Data Scientist for a leadership role in consumer...",Data Scientist,140000
San Francisco,University of California Berkeley,Concepts in Computing with Data. (On reproducible and collaborative statistical data science). Introduction to Probability & Statistics for Life Scientists....,Lecturer - Statistics - Department of Statistics (includes s...,49012
San Francisco,Oakland Unified School District,"Provide training on data analysis, data systems and appropriate use of data to District staff. Data Analyst II:....","Data Analyst II (Department: Research, Assessment & Data)",84649
San Francisco,Brilent,"The Brilent team brings together deep experience in machine learning, and data science from leading edge companies to solve the growing problem of leveraging...",Senior NLP Scientist/Engineer,150000
San Francisco,University of California Berkeley,Demonstrated experience with programming for biological data analysis and familiarity with functional genetic and/or genomic data is expected....,Post-Doctoral Scholar-Employee: Analysis of omics data,47406
San Francisco,Engage Recruiting LLC,"The person will be working with a team of Engineers, Data Analysts and Data Scientists. Our client is seeking a Data Engineer ....",Data Engineer,145000
San Francisco,Workbridge Associates,"2+ years of experience in Data Scientist, Quantitative Analyst, Research Engineering, or similar role. Subscription-based retail technology platform provider...",Senior Data Scientist (Econometrics),130000
San Francisco,Talent Compliance Consulting Services,Strong data analysis skills including setting specifications and monitoring reagent/kit lot performance....,Quality Control Scientist,100000
San Francisco,All-In Analytics,"Fraud Data Scientist. Seeking someone with skills and experience when it comes to Business Analysis, Compliance, Fraud Analytics, Anti Money Laundering (AML),...",Fraud Data Scientist,125000
San Francisco,NJF Search,RESPONSIBILITIES:  Design and develop predictive models and other components of automated trading systems. REQUIREMENTS:  PhD + Industry experience,Quantitative Researcher - Statistical Machine Learning - Hed...,200000
San Francisco,Workbridge Associates,Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500
San Francisco,Brilent,"Perform large-scale data analysis, find interesting patterns and translate them into product improvements. We are building the next-generation, big data talent...",Senior Data Scientist,130000
San Francisco,Corporate Labs Technology,"Natural Language Processing Brisbane, CA Sign on bonus Stocks! Up to 10% bonuses $110-180k depending on experience Fast growing social media company is",Data Scientist (Natural Language Processing),145000
San Francisco,Corporate Labs Technology,"Machine Learning Developer Brisbane, CA Sign on bonus Stocks! Up to 10% bonuses $110-180k depending on experience Fast growing social media company is",Data Scientist (Machine Learning),145000
San Francisco,HSF Consulting,"More data- they simply have more data than they know what to do with right now. About the startup- Applying disruptive data science, cognitive research, ML and...",Senior Data Scientist,160000
San Francisco,Workbridge Associates,The Senior Data Scientist position requires a fundamental knowledge of both computer programming and applied mathematics or statistics....,Senior Data Scientist (Autonomous Vehicle Research),170000
San Francisco,University of California Berkeley,Ensures accuracy and completeness of data in master files and various support tools. Should be knowledgeable about professional approaches and relevant...,"Database Administrator, GSE",74550
San Francisco,HSF Consulting,"Teams included Data Services(including data engineering and data warehouse developers), Data Operations, and Data Science. Data lead at data company:....",VP of Data Services,300000
San Francisco,Jobspring Partners,"Given the high volume of data collected by the company‰Ûªs software, experience with non-relational databases is strongly preferred....",Python Developer (Machine Learning),162500
San Francisco,Smith Hanley Associates,"Manager, Data Science. Top technology firm in the Bay Area seeks a Data Scientist for a leadership role in consumer marketing....","Manager, Data Science",150000
San Francisco,3coast,VP - Predictive Modeling / Data Scientist. Handle missing data through an algorithmic approach such as multiple imputations to enable insights in sparse and...,VP - Predictive Modeling / Data Scientist,140000
San Francisco,Lighthouse Recruiting,"Join our Medical Laboratory Scientists Groups:. Manage, cross-check, record, and update data from a variety of sources....",Billing Specialist,85000
San Francisco,Workbridge Associates,The role will be working on technology that provides API endpoints to gather data. A leading San Francisco-based company in the fin-tech space is looking for an...,"Staff Engineer, Machine Learning (Scala)",180000
San Francisco,Workbridge Associates,"2+ years of experience in Data Scientist, Quantitative Analyst, Research Engineering, or similar role. Subscription-based retail tech startup has an opening for...",Data Scientist (Econometrics),140000
San Francisco,"NextGen Jane, Inc.",Scientific Researcher ‰ÛÒ Next Gen Sequencing Scientist*. Scientist will be responsible for optimization of protocols and troubleshooting difficult sample types...,Scientific Researcher,65000
San Francisco,Workbridge Associates,This group works alongside the algorithms R&D team which enables a data science modeling group of 50-60 Data Scientists....,Senior Data Engineer - Algorthms Platform (Scala),175000
San Francisco,Galvanize,"As part of the Residency program, you will receive dedicated mentorship from our expert instructors and faculty to cultivate your development as a data...","Data Science Resident (DSR), Data Engineering Resident (DER)...",2500
San Francisco,LT,We have two QA engineers with three more open positions and one data scientist with more open roles. My client a leading mobile application company located in...,Erlang Engineer,180000
Austin,University of Texas at Austin,"Lead a small development team in the design, implementation, and maintenance of software applications used for geodetic data analysis....",Engineering Scientist - Geospatial Application Software Deve...,8541.5
Austin,University of Texas at Austin,Demonstrated ability to support post-mission data analysis of high-frequency SONAR systems pertaining to current EOD MCM sensor packages....,Research Engineering/ Scientist Associate II,3935
Austin,University of Texas at Austin,"Provide technical and research focused leadership and participate in a small, dynamic team of customer focused scientists....",Research Associate - R and D Data Scientist,8124.5
Austin,University of Texas at Austin,Detailed data analyses of GPS observation and navigation data collected from a global GPS tracking network to support objectives related to assessing GPS...,Engineering Scientist - GPS Data Analyst,8541.5
Austin,TechTank Staffing & Consulting Solutions,What are we looking for in this Data Scientist Programmer/Specialist:. Data Scientists - Not necessarily picking apart data models but being able to find a good...,Data Scientist Programmer/Specialist,140000
Austin,University of Texas at Austin,Investigate new applications of GPS/GNSS receiver data. Perform processing and detailed analysis of data collected by GPS/GNSS receivers....,Engineering Scientist - GNSS Analyst,8541.5
Austin,University of Texas at Austin,"Experience with quantitative research methods and data analysis. Techniques could include, but are not limited to, conducting stakeholder interviews, performing...",Research Engineering/ Scientist Associate V - Design Researc...,6666
Austin,Texas Department of Public Safety,"Develop plans, policies, and procedures for analyzing and interpreting statistical data. Work involves coordinating the planning, analysis, and presentation of...","Statistician III-IV, HSOC, THP-Austin",4714
Austin,University of Texas at Austin,"Collect, compile, and analyze data. To support funded research projects by providing lab management and conduct research in cell and molecular biology research...",Research Engineering/ Scientist Associate III - Lab Manager,3519
Austin,University of Texas at Austin,Data analysis for space weather remediation. Demonstrated proficiency in software development and knowledge of statistical characterization data sets....,Engineering Scientist Associate - R and D Software Developer,5950
Austin,The University of Texas System,"Assist in ongoing development of data warehouse to work in tandem of BI Suite, which includes data integration, data quality, data cleansing, and other Extract...",Institutional Research Analyst,4459
Austin,University of Texas at Austin,Experience in testing/using array processing algorithms with real data. Research and develop new array processing software for polarization diverse radio...,Research Associate - Array Processing Scientist,8124.5
