Salary,Austin,Chicago,New York,San Francisco,Seattle
1,0.0,0.0,0.0,1.0,0.0
1,0.0,0.0,0.0,1.0,0.0
1,0.0,0.0,0.0,1.0,0.0
1,0.0,0.0,0.0,1.0,0.0
1,0.0,0.0,0.0,1.0,0.0
1,0.0,0.0,0.0,1.0,0.0
1,0.0,0.0,0.0,1.0,0.0
1,0.0,0.0,0.0,1.0,0.0
0,0.0,0.0,0.0,1.0,0.0
1,0.0,0.0,0.0,1.0,0.0
1,0.0,0.0,0.0,1.0,0.0
0,0.0,0.0,0.0,1.0,0.0
1,0.0,0.0,0.0,1.0,0.0
1,0.0,0.0,0.0,1.0,0.0
0,0.0,0.0,0.0,1.0,0.0
1,0.0,0.0,0.0,1.0,0.0
1,0.0,0.0,0.0,1.0,0.0
1,0.0,0.0,0.0,1.0,0.0
1,0.0,0.0,0.0,1.0,0.0
1,0.0,0.0,0.0,1.0,0.0
1,0.0,0.0,0.0,1.0,0.0
1,0.0,0.0,0.0,1.0,0.0
1,0.0,0.0,0.0,1.0,0.0
1,0.0,0.0,0.0,1.0,0.0
1,0.0,0.0,0.0,1.0,0.0
1,0.0,0.0,0.0,1.0,0.0
1,0.0,0.0,0.0,1.0,0.0
1,0.0,0.0,0.0,1.0,0.0
1,0.0,0.0,0.0,1.0,0.0
1,0.0,0.0,0.0,1.0,0.0
1,0.0,0.0,0.0,1.0,0.0
1,0.0,0.0,0.0,1.0,0.0
1,0.0,0.0,0.0,1.0,0.0
1,0.0,0.0,0.0,1.0,0.0
0,0.0,0.0,0.0,1.0,0.0
1,0.0,0.0,0.0,1.0,0.0
1,0.0,0.0,0.0,1.0,0.0
1,1.0,0.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0,0.0
0,1.0,0.0,0.0,0.0,0.0
0,1.0,0.0,0.0,0.0,0.0
0,1.0,0.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0,1.0
0,0.0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0,1.0
0,0.0,0.0,0.0,0.0,1.0
0,0.0,0.0,0.0,0.0,1.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,1.0,0.0,0.0
1,0.0,1.0,0.0,0.0,0.0
1,0.0,1.0,0.0,0.0,0.0
1,0.0,1.0,0.0,0.0,0.0
0,0.0,1.0,0.0,0.0,0.0
1,0.0,1.0,0.0,0.0,0.0
1,0.0,1.0,0.0,0.0,0.0
1,0.0,1.0,0.0,0.0,0.0
1,0.0,1.0,0.0,0.0,0.0
1,0.0,1.0,0.0,0.0,0.0
1,0.0,1.0,0.0,0.0,0.0
1,0.0,1.0,0.0,0.0,0.0
1,0.0,1.0,0.0,0.0,0.0
1,0.0,1.0,0.0,0.0,0.0
1,0.0,1.0,0.0,0.0,0.0
1,0.0,1.0,0.0,0.0,0.0
1,0.0,1.0,0.0,0.0,0.0
1,0.0,1.0,0.0,0.0,0.0
1,0.0,1.0,0.0,0.0,0.0
1,0.0,1.0,0.0,0.0,0.0
1,0.0,1.0,0.0,0.0,0.0
0,0.0,1.0,0.0,0.0,0.0
1,0.0,1.0,0.0,0.0,0.0
1,0.0,1.0,0.0,0.0,0.0
1,0.0,1.0,0.0,0.0,0.0
1,0.0,1.0,0.0,0.0,0.0
1,0.0,1.0,0.0,0.0,0.0
1,0.0,1.0,0.0,0.0,0.0
1,0.0,1.0,0.0,0.0,0.0
1,0.0,1.0,0.0,0.0,0.0
1,0.0,1.0,0.0,0.0,0.0
1,0.0,1.0,0.0,0.0,0.0
1,0.0,1.0,0.0,0.0,0.0
