city,company,salary,summary,title
San+Francisco,Workbridge Associates,"$120,000 - $165,000 a year","Familiarity with data visualization, web analytics and modeling. 5+ years experience in machine learning and big data technologies (Hadoop or Spark preferred)....",Senior Level Data Scientist
San+Francisco,Workbridge Associates,"$125,000 - $135,000 a year","Experience with big data stack technologies, such as Hadoop or Spark. Strong skills in machine learning will be implemented to process and analyze this data....",Mid-Level Data Scientist
San+Francisco,MarkMonitor,"$180,000 a year","Data skills (SQL, Hive, Pig). Applying machine learning to classification problems on unstructured data. MarkMonitor&mdash;the world leader in brand protection...",Data Scientist
San+Francisco,Mines.io,"$80,000 - $120,000 a year",We are looking for a data scientist/developer to fill a cross-functional role on our small team. We expect you to be able to work and experiment with large data...,Full-Stack Data Scientist
San+Francisco,Selby Jennings,"$160,000 a year","Integrate data and control APIs utilzing 3rd party biz apps. One of our largest start-up clients, a rapidly growing Bay Area startup, is looking to add an...",Business Intelligence/Data Scientist at VC Bay Area Start-up
San+Francisco,Workbridge Associates,"$130,000 - $175,000 a year",3+ years as a Data Scientist required. FinTech start-up in the personal loan space in looking to bring on a Senior Data Scientist to add to their growing team....,Senior Data Scientist (FinTech)
San+Francisco,Workbridge Associates,"$120,000 - $150,000 a year","There is a small team of Data Engineers and Data Scientists, and they are looking for similar-minded individuals that seek learning opportunities and a...",Mid-Level Data Engineer
San+Francisco,Workbridge Associates,"$150,000 - $180,000 a year",A well-known San Francisco gaming company is looking to add a Senior Data Scientist to their team. They are looking for someone to build new products using...,Senior Data Scientist
San+Francisco,California State University,"$50,400 - $60,000 a year",Compile and analyze data for written reports and presentations. Analyze data and make accurate projections using standard budgeting and accounting practices;...,"Administrative Analyst/Specialist, Exempt I - Office of Rese..."
San+Francisco,University of California Berkeley,"$3,811 - $3,889 a month","Must be able to work in a greenhouse, manage data sets utilizing Excel, and follow research protocols and regulatory guidelines with exactness....","Staff Research Associate, PMB"
San+Francisco,Workbridge Associates,"$150,000 - $180,000 a year",In this position you will share programming and mathematical challenges with fellow data scientists. A San Francisco-based retail startup is looking to bring on...,Data Scientist
San+Francisco,Smith Hanley Associates,"$140,000 a year","This person will recruit, build and lead a team of Data Scientists. Top technology firm in the Bay Area seeks a Data Scientist for a leadership role in consumer...",Data Scientist
