,city,company,summary,title,AvgSal,salCategory,Salary
0,San Francisco,Workbridge Associates,"Familiarity with data visualization, web analytics and modeling. 5+ years experience in machine learning and big data technologies (Hadoop or Spark preferred)....",Senior Level Data Scientist,142500,High,1
1,San Francisco,Workbridge Associates,"Experience with big data stack technologies, such as Hadoop or Spark. Strong skills in machine learning will be implemented to process and analyze this data....",Mid-Level Data Scientist,130000,High,1
2,San Francisco,MarkMonitor,"Data skills (SQL, Hive, Pig). Applying machine learning to classification problems on unstructured data. MarkMonitor&mdash;the world leader in brand protection...",Data Scientist,180000,High,1
3,San Francisco,Mines.io,We are looking for a data scientist/developer to fill a cross-functional role on our small team. We expect you to be able to work and experiment with large data...,Full-Stack Data Scientist,100000,High,1
4,San Francisco,Selby Jennings,"Integrate data and control APIs utilzing 3rd party biz apps. One of our largest start-up clients, a rapidly growing Bay Area startup, is looking to add an...",Business Intelligence/Data Scientist at VC Bay Area Start-up,160000,High,1
5,San Francisco,Workbridge Associates,3+ years as a Data Scientist required. FinTech start-up in the personal loan space in looking to bring on a Senior Data Scientist to add to their growing team....,Senior Data Scientist (FinTech),152500,High,1
6,San Francisco,Workbridge Associates,"There is a small team of Data Engineers and Data Scientists, and they are looking for similar-minded individuals that seek learning opportunities and a...",Mid-Level Data Engineer,135000,High,1
7,San Francisco,Workbridge Associates,A well-known San Francisco gaming company is looking to add a Senior Data Scientist to their team. They are looking for someone to build new products using...,Senior Data Scientist,165000,High,1
8,San Francisco,California State University,Compile and analyze data for written reports and presentations. Analyze data and make accurate projections using standard budgeting and accounting practices;...,"Administrative Analyst/Specialist, Exempt I - Office of Rese...",55200,Low,0
10,San Francisco,Workbridge Associates,In this position you will share programming and mathematical challenges with fellow data scientists. A San Francisco-based retail startup is looking to bring on...,Data Scientist,165000,High,1
11,San Francisco,Smith Hanley Associates,"This person will recruit, build and lead a team of Data Scientists. Top technology firm in the Bay Area seeks a Data Scientist for a leadership role in consumer...",Data Scientist,140000,High,1
12,San Francisco,University of California Berkeley,Concepts in Computing with Data. (On reproducible and collaborative statistical data science). Introduction to Probability & Statistics for Life Scientists....,Lecturer - Statistics - Department of Statistics (includes s...,49012,Low,0
13,San Francisco,Oakland Unified School District,"Provide training on data analysis, data systems and appropriate use of data to District staff. Data Analyst II:....","Data Analyst II (Department: Research, Assessment & Data)",84649,High,1
14,San Francisco,Brilent,"The Brilent team brings together deep experience in machine learning, and data science from leading edge companies to solve the growing problem of leveraging...",Senior NLP Scientist/Engineer,150000,High,1
15,San Francisco,University of California Berkeley,Demonstrated experience with programming for biological data analysis and familiarity with functional genetic and/or genomic data is expected....,Post-Doctoral Scholar-Employee: Analysis of omics data,47406,Low,0
16,San Francisco,Engage Recruiting LLC,"The person will be working with a team of Engineers, Data Analysts and Data Scientists. Our client is seeking a Data Engineer ....",Data Engineer,145000,High,1
17,San Francisco,Workbridge Associates,"2+ years of experience in Data Scientist, Quantitative Analyst, Research Engineering, or similar role. Subscription-based retail technology platform provider...",Senior Data Scientist (Econometrics),130000,High,1
18,San Francisco,Talent Compliance Consulting Services,Strong data analysis skills including setting specifications and monitoring reagent/kit lot performance....,Quality Control Scientist,100000,High,1
19,San Francisco,All-In Analytics,"Fraud Data Scientist. Seeking someone with skills and experience when it comes to Business Analysis, Compliance, Fraud Analytics, Anti Money Laundering (AML),...",Fraud Data Scientist,125000,High,1
20,San Francisco,NJF Search,RESPONSIBILITIES:  Design and develop predictive models and other components of automated trading systems. REQUIREMENTS:  PhD + Industry experience,Quantitative Researcher - Statistical Machine Learning - Hed...,200000,High,1
21,San Francisco,Workbridge Associates,Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500,High,1
22,San Francisco,Brilent,"Perform large-scale data analysis, find interesting patterns and translate them into product improvements. We are building the next-generation, big data talent...",Senior Data Scientist,130000,High,1
23,San Francisco,Corporate Labs Technology,"Natural Language Processing Brisbane, CA Sign on bonus Stocks! Up to 10% bonuses $110-180k depending on experience Fast growing social media company is",Data Scientist (Natural Language Processing),145000,High,1
24,San Francisco,Corporate Labs Technology,"Machine Learning Developer Brisbane, CA Sign on bonus Stocks! Up to 10% bonuses $110-180k depending on experience Fast growing social media company is",Data Scientist (Machine Learning),145000,High,1
25,San Francisco,HSF Consulting,"More data- they simply have more data than they know what to do with right now. About the startup- Applying disruptive data science, cognitive research, ML and...",Senior Data Scientist,160000,High,1
26,San Francisco,Workbridge Associates,The Senior Data Scientist position requires a fundamental knowledge of both computer programming and applied mathematics or statistics....,Senior Data Scientist (Autonomous Vehicle Research),170000,High,1
27,San Francisco,University of California Berkeley,Ensures accuracy and completeness of data in master files and various support tools. Should be knowledgeable about professional approaches and relevant...,"Database Administrator, GSE",74550,High,1
28,San Francisco,HSF Consulting,"Teams included Data Services(including data engineering and data warehouse developers), Data Operations, and Data Science. Data lead at data company:....",VP of Data Services,300000,High,1
29,San Francisco,Jobspring Partners,"Given the high volume of data collected by the company‰Ûªs software, experience with non-relational databases is strongly preferred....",Python Developer (Machine Learning),162500,High,1
30,San Francisco,Smith Hanley Associates,"Manager, Data Science. Top technology firm in the Bay Area seeks a Data Scientist for a leadership role in consumer marketing....","Manager, Data Science",150000,High,1
31,San Francisco,3coast,VP - Predictive Modeling / Data Scientist. Handle missing data through an algorithmic approach such as multiple imputations to enable insights in sparse and...,VP - Predictive Modeling / Data Scientist,140000,High,1
32,San Francisco,Lighthouse Recruiting,"Join our Medical Laboratory Scientists Groups:. Manage, cross-check, record, and update data from a variety of sources....",Billing Specialist,85000,High,1
33,San Francisco,Workbridge Associates,The role will be working on technology that provides API endpoints to gather data. A leading San Francisco-based company in the fin-tech space is looking for an...,"Staff Engineer, Machine Learning (Scala)",180000,High,1
34,San Francisco,Workbridge Associates,"2+ years of experience in Data Scientist, Quantitative Analyst, Research Engineering, or similar role. Subscription-based retail tech startup has an opening for...",Data Scientist (Econometrics),140000,High,1
35,San Francisco,"NextGen Jane, Inc.",Scientific Researcher ‰ÛÒ Next Gen Sequencing Scientist*. Scientist will be responsible for optimization of protocols and troubleshooting difficult sample types...,Scientific Researcher,65000,Low,0
36,San Francisco,Workbridge Associates,This group works alongside the algorithms R&D team which enables a data science modeling group of 50-60 Data Scientists....,Senior Data Engineer - Algorthms Platform (Scala),175000,High,1
38,San Francisco,LT,We have two QA engineers with three more open positions and one data scientist with more open roles. My client a leading mobile application company located in...,Erlang Engineer,180000,High,1
43,Austin,TechTank Staffing & Consulting Solutions,What are we looking for in this Data Scientist Programmer/Specialist:. Data Scientists - Not necessarily picking apart data models but being able to find a good...,Data Scientist Programmer/Specialist,140000,High,1
51,Austin,All-In Analytics,"Senior Deep Learning Data Scientist. Forecasting, Statistical Modeling, building new data driven products....",Senior Deep Learning Data Scientist,150000,High,1
54,Austin,Roland & Associates,You have 3 years of hands-on data science work. You have experience in analysing the data for better understanding of web pages....,Data Scientist - Big Data,160000,High,1
58,Austin,Myriad Development,"Myriad Development is an Austin, TX based leader in cloud based information and technology solutions to the Financial Services markets. Myriad Development has",Research Analyst/Customer Serv,35000,Low,0
59,Austin,JE Compliance,"The ability to interact with many different types of individuals, including executives, scientists, engineers, and other business professionals....",International Environmental Specialist,41000,Low,0
61,Austin,Providence Partners,"Company Located in South Austin, we are the leading information security research and advisory company globally. Benefits Phenomenal health benefits 3","Research Analyst (excel, analysis, client-facing)",65000,Low,0
62,Austin,Emoters Robotics,"At Emoters, we‰Ûªre developing tiny, autonomous robots that interact with their users much like pets. These robots are being designed to be lifelike, exhibit","Robotics software engineer (involves machine learning, AI, a...",85000,High,1
63,Austin,Roland & Associates,Data Scientist.Job Type :. They are currently seeking a Data Scientist Professional for a role who will be responsible to Model the complex interactions between...,Data Scientist,160000,High,1
851,Seattle,Harvey Nash USA,"They are looking for a Type B data scientist:. Data Science Engineer. Work with clean data. There's an aphorism that 80% of data science work is joining,...",Data Science Engineer,135000,High,1
852,Seattle,Prime Team Partners,4813 Data Scientist*. The team is open to hiring Data Scientists with the following credentials:. Prime Team Partners is currently partnering with client in the...,Data Scientist,150000,High,1
853,Seattle,All-In Analytics,"Digital Data Scientist. Big Data Mining and Analysis. Predictive Analytics, Machine Learning, Relevance Modeling, Click Through Rate Predictive Models,...",Digital Data Scientist,190000,High,1
854,Seattle,"Rakuten, Inc.","Additionally, this position provides an opportunity to apply Natural Language Processing (NLP) and Machine Learning (ML) algorithms to large-scale ecommerce...",Software Development Engineer (Machine Learning),140000,High,1
