
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes
3,1,Aug 28 2014,10:30 PM,Thu,(19) Arizona State,45,,Weber State,14,Pac-12 Network,
7,1,Aug 28 2014,8:00 PM,Thu,(18) Mississippi,35,,Boise State,13,ESPN,Georgia Dome - Atlanta GA
13,1,Aug 28 2014,6:00 PM,Thu,(21) Texas A&amp;M,52,@,(9) South Carolina,28,SEC Network,
19,1,Aug 29 2014,7:30 PM,Fri,(8) Michigan State,45,,Jacksonville State,7,Big Ten Network,
24,1,Aug 30 2014,3:30 PM,Sat,(2) Alabama,33,,West Virginia,23,ESPN 2,Georgia Dome - Atlanta GA
27,1,Aug 30 2014,4:00 PM,Sat,(6) Auburn,45,,Arkansas,21,SEC Network,
36,1,Aug 30 2014,8:00 PM,Sat,(1) Florida State,37,,Oklahoma State,31,ABC,AT&amp;T Stadium - Arlington TX
37,1,Aug 30 2014,5:30 PM,Sat,(12) Georgia,45,,(16) Clemson,21,ESPN,
42,1,Aug 30 2014,7:10 PM,Sat,(20) Kansas State,55,,Stephen F. Austin,16,K-StateHD.tv,
44,1,Aug 30 2014,9:15 PM,Sat,(13) Louisiana State,28,,(14) Wisconsin,24,ESPN,NRG Stadium - Houston TX
52,1,Aug 30 2014,3:30 PM,Sat,(24) Missouri,38,,South Dakota State,18,ESPN U,
53,1,Aug 30 2014,3:30 PM,Sat,(22) Nebraska,55,,Florida Atlantic,7,Big Ten Network,
55,1,Aug 30 2014,6:00 PM,Sat,(23) North Carolina,56,,Liberty,29,ESPN3.com,
58,1,Aug 30 2014,3:30 PM,Sat,(17) Notre Dame,48,,Rice,17,NBC,
60,1,Aug 30 2014,12:00 PM,Sat,(5) Ohio State,34,,Navy,17,CBSSN,M&amp;T Bank Stadium - Baltimore MD
61,1,Aug 30 2014,7:00 PM,Sat,(4) Oklahoma,48,,Louisiana Tech,16,FSN-OK (PPV),
63,1,Aug 30 2014,10:30 PM,Sat,(3) Oregon,62,,South Dakota,13,Pac-12 Network,
70,1,Aug 30 2014,7:30 PM,Sat,(15) Southern California,52,,Fresno State,13,FOX,
71,1,Aug 30 2014,4:00 PM,Sat,(11) Stanford,45,,California-Davis,0,Pac-12 Network,
78,1,Aug 30 2014,12:00 PM,Sat,(7) UCLA,28,@,Virginia,20,ESPN,
80,1,Aug 30 2014,10:30 PM,Sat,(25) Washington,17,@,Hawaii,16,CBSSN,
82,1,Aug 31 2014,7:30 PM,Sun,(10) Baylor,45,,Southern Methodist,0,FS1,
84,1,Sep 1 2014,8:00 PM,Mon,(25) Louisville,31,,Miami (FL),13,ESPN,
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes
88,2,Sep 6 2014,12:00 PM,Sat,(2) Alabama,41,,Florida Atlantic,0,SEC Network,
90,2,Sep 6 2014,7:00 PM,Sat,(17) Arizona State,58,@,New Mexico,23,CBSSN,
93,2,Sep 6 2014,7:00 PM,Sat,(5) Auburn,59,,San Jose State,13,ESPN 2,
94,2,Sep 6 2014,7:45 PM,Sat,(10) Baylor,70,,Northwestern State,6,FSN MSG,
100,2,Sep 6 2014,12:30 PM,Sat,(23) Clemson,73,,South Carolina State,7,ACC Network ESPN3.com,
107,2,Sep 6 2014,7:30 PM,Sat,(1) Florida State,37,,Citadel,12,RSN ESPN3.com MSG+,
114,2,Sep 6 2014,12:00 PM,Sat,(20) Kansas State,32,@,Iowa State,28,FS1,
116,2,Sep 6 2014,7:30 PM,Sat,(12) Louisiana State,56,,Sam Houston State,0,SEC Network,
119,2,Sep 6 2014,7:00 PM,Sat,(25) Louisville,66,,Murray State,21,ESPN3.com,
124,2,Sep 6 2014,4:30 PM,Sat,(15) Mississippi,41,,Vanderbilt,3,ESPN,LP Field - Nashville TN
126,2,Sep 6 2014,12:00 PM,Sat,(24) Missouri,49,@,Toledo,24,ESPN,
