Delivery Date,Platform Name,IO Tactic,Market,Period,Year ,Creative Tag,Creative Size,Impressions,Clicks,Billable Spend,eCPM,CTR,Client Weighted Hard Total Conversions,Client Total Revenue,ROAS
1-Aug-14,APPNEXUS,Retargeting,Atlanta,P8,2014.00,,728x90,2.00,0.00,0.01,6.55,0.00,0.00,0.00,0.00
1-Aug-14,TTD,Channel,Atlanta,P8,2014.00,,300x600,606.00,0.00,1.02,1.68,0.00,1.00,20.00,19.68
1-Aug-14,TTD,Channel,Atlanta,P8,2014.00,,728x90,25380.00,6.00,33.50,1.32,0.00,16.00,467.86,13.97
1-Aug-14,TTD,Reach,Atlanta,P8,2014.00,,300x600,695.00,0.00,0.58,0.84,0.00,0.00,0.00,0.00
1-Aug-14,TTD,Reach,Atlanta,P8,2014.00,,728x90,39593.00,3.00,32.81,0.83,0.00,23.00,416.65,12.70
1-Aug-14,TTD,Retargeting,Atlanta,P8,2014.00,,300x600,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1-Aug-14,TTD,Retargeting,Atlanta,P8,2014.00,,728x90,3.00,0.00,0.01,4.18,0.00,0.00,0.00,0.00
2-Aug-14,APPNEXUS,Retargeting,Atlanta,P8,2014.00,,728x90,1.00,0.00,0.00,3.88,0.00,0.00,0.00,0.00
2-Aug-14,DBM,Retargeting,Atlanta,P8,2014.00,,728x90,3.00,0.00,0.01,2.63,0.00,0.00,0.00,0.00
2-Aug-14,TTD,Channel,Atlanta,P8,2014.00,,300x600,1315.00,0.00,2.13,1.62,0.00,1.00,15.00,7.03
2-Aug-14,TTD,Channel,Atlanta,P8,2014.00,,728x90,52217.00,6.00,71.56,1.37,0.00,33.00,598.49,8.36
2-Aug-14,TTD,Reach,Atlanta,P8,2014.00,,300x600,2073.00,1.00,1.70,0.82,0.00,0.00,0.00,0.00
2-Aug-14,TTD,Reach,Atlanta,P8,2014.00,,728x90,85912.00,19.00,71.88,0.84,0.00,41.00,795.04,11.06
2-Aug-14,TTD,Retargeting,Atlanta,P8,2014.00,,300x600,2.00,0.00,0.01,4.92,0.00,0.00,0.00,0.00
2-Aug-14,TTD,Retargeting,Atlanta,P8,2014.00,,728x90,60.00,0.00,0.21,3.44,0.00,0.00,0.00,0.00
3-Aug-14,APPNEXUS,Retargeting,Atlanta,P8,2014.00,,728x90,7.00,0.00,0.03,4.61,0.00,0.00,0.00,0.00
3-Aug-14,DBM,Retargeting,Atlanta,P8,2014.00,,728x90,4.00,1.00,0.00,0.00,0.25,0.00,0.00,0.00
3-Aug-14,TTD,Channel,Atlanta,P8,2014.00,,300x600,1420.00,0.00,2.41,1.70,0.00,1.00,15.00,6.21
3-Aug-14,TTD,Channel,Atlanta,P8,2014.00,,728x90,53006.00,9.00,71.16,1.34,0.00,27.00,569.18,8.00
3-Aug-14,TTD,Reach,Atlanta,P8,2014.00,,300x600,2038.00,4.00,1.59,0.78,0.00,2.00,40.99,25.81
3-Aug-14,TTD,Reach,Atlanta,P8,2014.00,,728x90,91045.00,17.00,72.07,0.79,0.00,32.00,673.96,9.35
3-Aug-14,TTD,Retargeting,Atlanta,P8,2014.00,,300x600,3.00,0.00,0.01,3.52,0.00,0.00,0.00,0.00
3-Aug-14,TTD,Retargeting,Atlanta,P8,2014.00,,728x90,120.00,0.00,0.38,3.20,0.00,0.00,0.00,0.00
4-Aug-14,APPNEXUS,Retargeting,Atlanta,P8,2014.00,,728x90,7.00,0.00,0.03,3.98,0.00,0.00,0.00,0.00
4-Aug-14,DBM,Retargeting,Atlanta,P8,2014.00,,728x90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4-Aug-14,TTD,Channel,Atlanta,P8,2014.00,,300x600,1098.00,2.00,1.85,1.68,0.00,0.00,0.00,0.00
4-Aug-14,TTD,Channel,Atlanta,P8,2014.00,,728x90,52059.00,7.00,71.89,1.38,0.00,21.00,348.23,4.84
4-Aug-14,TTD,Reach,Atlanta,P8,2014.00,,300x600,2039.00,0.00,1.57,0.77,0.00,0.00,0.00,0.00
4-Aug-14,TTD,Reach,Atlanta,P8,2014.00,,728x90,90536.00,23.00,72.03,0.80,0.00,25.00,431.06,5.98
4-Aug-14,TTD,Retargeting,Atlanta,P8,2014.00,,300x600,4.00,0.00,0.02,5.50,0.00,0.00,0.00,0.00
4-Aug-14,TTD,Retargeting,Atlanta,P8,2014.00,,728x90,132.00,0.00,0.43,3.29,0.00,0.00,0.00,0.00
5-Aug-14,APPNEXUS,Retargeting,Atlanta,P8,2014.00,,728x90,8.00,0.00,0.04,5.19,0.00,0.00,0.00,0.00
5-Aug-14,DBM,Retargeting,Atlanta,P8,2014.00,,728x90,16.00,1.00,0.05,2.96,0.06,0.00,0.00,0.00
5-Aug-14,TTD,Channel,Atlanta,P8,2014.00,,300x600,1473.00,2.00,2.45,1.66,0.00,3.00,46.99,19.19
5-Aug-14,TTD,Channel,Atlanta,P8,2014.00,,728x90,50885.00,9.00,71.11,1.40,0.00,25.00,430.99,6.06
5-Aug-14,TTD,Reach,Atlanta,P8,2014.00,,300x600,2615.00,2.00,2.01,0.77,0.00,1.00,39.50,19.69
5-Aug-14,TTD,Reach,Atlanta,P8,2014.00,,728x90,89945.00,14.00,71.67,0.80,0.00,35.00,643.69,8.98
5-Aug-14,TTD,Retargeting,Atlanta,P8,2014.00,,300x600,4.00,0.00,0.02,4.51,0.00,0.00,0.00,0.00
5-Aug-14,TTD,Retargeting,Atlanta,P8,2014.00,,728x90,154.00,4.00,0.47,3.03,0.03,0.00,0.00,0.00
6-Aug-14,APPNEXUS,Retargeting,Atlanta,P8,2014.00,,728x90,7.00,0.00,0.03,4.85,0.00,0.00,0.00,0.00
6-Aug-14,DBM,Retargeting,Atlanta,P8,2014.00,,728x90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6-Aug-14,TTD,Channel,Atlanta,P8,2014.00,,300x600,1535.00,0.00,2.53,1.65,0.00,0.00,0.00,0.00
6-Aug-14,TTD,Channel,Atlanta,P8,2014.00,,728x90,51798.00,9.00,71.10,1.37,0.00,18.00,286.66,4.03
6-Aug-14,TTD,Reach,Atlanta,P8,2014.00,,300x600,2858.00,2.00,2.11,0.74,0.00,2.00,33.00,15.63
6-Aug-14,TTD,Reach,Atlanta,P8,2014.00,,728x90,91387.00,17.00,71.45,0.78,0.00,33.00,605.41,8.47
6-Aug-14,TTD,Retargeting,Atlanta,P8,2014.00,,300x600,9.00,0.00,0.05,5.23,0.00,0.00,0.00,0.00
6-Aug-14,TTD,Retargeting,Atlanta,P8,2014.00,,728x90,110.00,0.00,0.42,3.80,0.00,0.00,0.00,0.00
7-Aug-14,APPNEXUS,Retargeting,Atlanta,P8,2014.00,,728x90,7.00,0.00,0.03,4.47,0.00,0.00,0.00,0.00
7-Aug-14,DBM,Retargeting,Atlanta,P8,2014.00,,728x90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7-Aug-14,TTD,Channel,Atlanta,P8,2014.00,,300x600,1766.00,1.00,2.89,1.64,0.00,0.00,0.00,0.00
7-Aug-14,TTD,Channel,Atlanta,P8,2014.00,,728x90,51040.00,9.00,70.31,1.38,0.00,26.00,457.95,6.51
7-Aug-14,TTD,Reach,Atlanta,P8,2014.00,,300x600,2875.00,2.00,2.25,0.78,0.00,0.00,0.00,0.00
