Date,% New Sessions,New Users,Sessions
20160228,95.74%,45,47
20160227,87.72%,50,57
20160226,94.81%,73,77
20160225,80.56%,29,36
20160224,91.84%,45,49
20160223,90.48%,38,42
20160222,90.00%,45,50
20160221,86.89%,53,61
20160220,98.51%,66,67
20160219,92.86%,52,56
20160218,98.15%,53,54
20160217,86.49%,32,37
20160216,88.89%,40,45
20160215,96.30%,52,54
20160214,90.91%,60,66
20160213,91.36%,74,81
20160212,92.94%,79,85
20160211,100.00%,48,48
20160210,92.16%,47,51
20160209,90.74%,49,54
20160208,80.95%,34,42
20160207,90.48%,95,105
20160206,89.74%,70,78
20160205,93.33%,56,60
20160204,90.62%,58,64
20160203,80.65%,25,31
20160202,92.68%,38,41
20160201,93.55%,29,31
20160131,90.20%,46,51
20160130,100.00%,65,65
20160129,97.26%,71,73
20160128,93.33%,42,45
20160127,92.00%,23,25
20160126,85.37%,35,41
20160125,89.55%,60,67
20160124,93.33%,42,45
20160123,92.11%,70,76
20160122,92.00%,69,75
20160121,73.17%,30,41
20160120,83.72%,36,43
20160119,86.05%,37,43
20160118,77.08%,37,48
20160117,92.86%,65,70
20160116,84.13%,53,63
20160115,93.94%,62,66
20160114,82.14%,23,28
20160113,88.89%,48,54
20160112,78.05%,32,41
20160111,81.82%,27,33
20160110,91.46%,75,82
20160109,86.36%,57,66
20160108,90.53%,86,95
20160107,89.58%,43,48
20160106,83.33%,30,36
20160105,84.62%,44,52
20160104,85.19%,46,54
20160103,83.33%,45,54
20160102,88.14%,52,59
20160101,86.30%,63,73
20151231,91.92%,91,99
20151230,95.31%,61,64
20151229,95.38%,62,65
20151228,96.08%,98,102
20151227,95.83%,46,48
20151226,96.59%,85,88
20151225,90.91%,30,33
20151224,95.08%,58,61
20151223,90.20%,46,51
20151222,85.45%,47,55
20151221,87.76%,43,49
20151220,84.62%,33,39
20151219,85.19%,46,54
20151218,92.59%,50,54
20151217,93.10%,54,58
20151216,83.64%,46,55
20151215,87.30%,55,63
20151214,98.31%,58,59
20151213,90.48%,38,42
20151212,94.64%,53,56
20151211,89.04%,65,73
20151210,84.93%,62,73
20151209,81.82%,54,66
20151208,88.89%,48,54
20151207,87.80%,36,41
20151206,92.98%,53,57
20151205,97.14%,68,70
20151204,93.81%,106,113
20151203,91.43%,32,35
20151202,90.00%,36,40
20151201,91.38%,53,58
20151130,88.49%,123,139
20151129,81.16%,56,69
20151128,96.00%,72,75
20151127,91.86%,79,86
20151126,95.92%,47,49
20151125,95.38%,124,130
20151124,93.46%,100,107
20151123,82.61%,38,46
20151122,90.57%,96,106
20151121,84.62%,55,65
20151120,87.50%,63,72
20151119,91.30%,63,69
20151118,89.29%,75,84
20151117,89.51%,145,162
20151116,88.73%,63,71
20151115,76.56%,49,64
20151114,93.94%,62,66
20151113,77.94%,53,68
20151112,76.47%,39,51
20151111,70.77%,46,65
20151110,81.67%,49,60
20151109,85.00%,34,40
20151108,83.78%,62,74
20151107,78.89%,71,90
20151106,90.09%,100,111
20151105,72.34%,34,47
20151104,84.78%,39,46
20151103,82.43%,61,74
20151102,84.78%,39,46
20151101,88.31%,68,77
20151031,91.18%,62,68
20151030,92.06%,58,63
20151029,69.35%,43,62
20151028,66.67%,42,63
20151027,75.00%,39,52
20151026,80.00%,56,70
20151025,81.63%,40,49
20151024,86.57%,58,67
20151023,85.07%,57,67
20151022,88.24%,45,51
20151021,80.00%,40,50
20151020,82.46%,47,57
20151019,77.78%,42,54
20151018,84.91%,45,53
20151017,88.75%,71,80
20151016,90.54%,67,74
20151015,88.73%,63,71
20151014,85.07%,57,67
20151013,82.50%,66,80
20151012,79.22%,61,77
20151011,83.08%,54,65
20151010,76.47%,65,85
20151009,70.18%,40,57
20151008,87.50%,63,72
20151007,78.41%,69,88
20151006,88.68%,188,212
20151005,81.94%,59,72
20151004,89.53%,77,86
20151003,86.21%,75,87
20151002,93.85%,61,65
20151001,95.92%,47,49
20150930,89.36%,42,47
20150929,84.21%,64,76
20150928,90.91%,50,55
20150927,84.78%,39,46
20150926,93.44%,57,61
20150925,85.94%,55,64
20150924,77.55%,38,49
20150923,94.87%,37,39
20150922,93.94%,62,66
20150921,87.50%,42,48
20150920,82.09%,55,67
20150919,84.93%,62,73
20150918,91.23%,52,57
20150917,93.44%,57,61
20150916,90.48%,38,42
20150915,90.00%,54,60
20150914,87.76%,43,49
20150913,80.00%,24,30
20150912,85.71%,48,56
20150911,92.16%,47,51
20150910,88.41%,61,69
20150909,85.33%,64,75
20150908,80.28%,57,71
20150907,85.94%,55,64
20150906,86.79%,46,53
20150905,91.89%,102,111
20150904,90.80%,79,87
20150903,92.98%,53,57
20150902,87.69%,57,65
20150901,87.36%,76,87
20150831,85.42%,41,48
20150830,91.80%,56,61
20150829,88.00%,44,50
20150828,84.13%,53,63
20150827,83.05%,49,59
20150826,71.43%,20,28
20150825,86.44%,51,59
20150824,80.00%,40,50
20150823,90.20%,46,51
20150822,90.57%,48,53
20150821,85.71%,42,49
20150820,89.13%,41,46
20150819,80.77%,42,52
20150818,78.08%,57,73
20150817,84.78%,39,46
20150816,92.19%,59,64
20150815,90.38%,47,52
20150814,94.29%,66,70
20150813,93.75%,75,80
20150812,89.06%,57,64
20150811,95.05%,96,101
20150810,95.76%,113,118
20150809,89.16%,74,83
20150808,93.75%,90,96
20150807,95.12%,78,82
20150806,79.17%,38,48
20150805,91.94%,57,62
20150804,90.32%,56,62
20150803,91.04%,61,67
20150802,96.84%,92,95
20150801,95.65%,44,46
20150731,93.88%,46,49
20150730,90.38%,47,52
20150729,90.32%,28,31
20150728,91.21%,83,91
20150727,96.88%,62,64
20150726,95.06%,77,81
20150725,92.50%,74,80
20150724,93.33%,56,60
20150723,90.91%,40,44
20150722,89.66%,52,58
20150721,91.85%,124,135
20150720,92.00%,92,100
20150719,91.49%,43,47
20150718,79.25%,42,53
20150717,93.00%,93,100
20150716,98.11%,52,53
20150715,87.14%,61,70
20150714,95.24%,60,63
20150713,89.86%,62,69
20150712,93.75%,60,64
20150711,98.55%,68,69
20150710,89.74%,35,39
20150709,93.75%,75,80
20150708,90.57%,48,53
20150707,89.69%,87,97
20150706,92.19%,118,128
20150705,92.92%,105,113
20150704,97.17%,103,106
20150703,89.55%,60,67
20150702,94.92%,56,59
20150701,93.98%,78,83
20150630,90.00%,72,80
20150629,87.23%,41,47
20150628,91.49%,43,47
20150627,95.95%,71,74
20150626,89.66%,78,87
20150625,85.88%,73,85
20150624,78.85%,41,52
20150623,93.46%,100,107
20150622,95.83%,92,96
20150621,90.74%,49,54
20150620,94.74%,54,57
20150619,92.21%,71,77
20150618,94.02%,110,117
20150617,89.12%,131,147
20150616,86.67%,156,180
20150615,87.50%,154,176
20150614,89.66%,104,116
20150613,94.17%,97,103
20150612,91.18%,93,102
20150611,90.68%,107,118
20150610,95.00%,114,120
20150609,89.19%,132,148
20150608,91.94%,114,124
20150607,94.74%,162,171
20150606,94.68%,89,94
20150605,90.08%,109,121
20150604,88.98%,105,118
20150603,91.47%,118,129
20150602,92.73%,102,110
20150601,96.81%,91,94
20150531,93.98%,78,83
20150530,91.36%,74,81
20150529,97.92%,94,96
20150528,95.28%,202,212
20150527,91.78%,201,219
20150526,74.58%,44,59
20150525,87.50%,84,96
20150524,93.33%,42,45
20150523,92.38%,97,105
20150522,94.37%,67,71
20150521,95.83%,46,48
20150520,95.40%,83,87
20150519,97.87%,92,94
20150518,92.19%,59,64
20150517,93.26%,83,89
20150516,87.93%,51,58
20150515,93.94%,124,132
20150514,96.12%,99,103
20150513,83.33%,40,48
20150512,91.67%,55,60
20150511,96.15%,50,52
20150510,100.00%,20,20
20150509,98.21%,55,56
20150508,94.12%,32,34
20150507,92.31%,48,52
20150506,87.80%,36,41
20150505,92.50%,37,40
20150504,92.50%,37,40
20150503,88.68%,47,53
20150502,90.91%,30,33
20150501,91.07%,51,56
20150430,88.52%,54,61
20150429,90.00%,27,30
20150428,93.91%,108,115
20150427,80.43%,37,46
20150426,82.14%,23,28
20150425,87.10%,27,31
20150424,80.77%,42,52
20150423,69.77%,30,43
20150422,94.44%,17,18
20150421,76.32%,29,38
20150420,88.39%,99,112
20150419,88.00%,22,25
20150418,91.67%,33,36
20150417,78.00%,39,50
20150416,77.78%,21,27
20150415,68.00%,17,25
20150414,74.00%,37,50
20150413,92.59%,25,27
20150412,90.91%,20,22
20150411,73.08%,19,26
20150410,85.00%,34,40
20150409,79.31%,23,29
20150408,82.93%,34,41
20150407,91.58%,87,95
20150406,91.30%,42,46
20150405,92.31%,24,26
