
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes
1,1,Sep 3 2015,10:00 PM,Thu,(22) Arizona,42,,Texas-San Antonio,32,,
7,1,Sep 3 2015,7:30 PM,Thu,(16) Georgia Tech,69,,Alcorn State,6,,
14,1,Sep 3 2015,9:00 PM,Thu,(2) Texas Christian,23,@,Minnesota,17,,
19,1,Sep 4 2015,7:00 PM,Fri,(4) Baylor,56,@,Southern Methodist,21,,
20,1,Sep 4 2015,10:15 PM,Fri,(23) Boise State,16,,Washington,13,,
24,1,Sep 4 2015,7:00 PM,Fri,(5) Michigan State,37,@,Western Michigan,24,,
28,1,Sep 5 2015,8:00 PM,Sat,(3) Alabama,35,,(20) Wisconsin,17,,
30,1,Sep 5 2015,3:30 PM,Sat,(18) Arkansas,48,,Texas-El Paso,13,,
31,1,Sep 5 2015,3:30 PM,Sat,(6) Auburn,31,,Louisville,24,,
37,1,Sep 5 2015,12:30 PM,Sat,(12) Clemson,49,,Wofford,10,,
41,1,Sep 5 2015,8:00 PM,Sat,(10) Florida State,59,,Texas State,16,,
42,1,Sep 5 2015,12:00 PM,Sat,(9) Georgia,51,,Louisiana-Monroe,14,,
52,1,Sep 5 2015,7:30 PM,Sat,McNeese State,,@,(14) Louisiana State,,,
57,1,Sep 5 2015,12:00 PM,Sat,(17) Mississippi,76,,Tennessee-Martin,3,,
59,1,Sep 5 2015,4:00 PM,Sat,(24) Missouri,34,,Southeast Missouri State,3,,
65,1,Sep 5 2015,12:00 PM,Sat,Northwestern,16,,(21) Stanford,6,,
66,1,Sep 5 2015,7:30 PM,Sat,(11) Notre Dame,38,,Texas,3,,
67,1,Sep 5 2015,7:00 PM,Sat,(19) Oklahoma,41,,Akron,3,,
69,1,Sep 5 2015,8:00 PM,Sat,(7) Oregon,61,,Eastern Washington,42,,
78,1,Sep 5 2015,11:00 PM,Sat,(8) Southern California,55,,Arkansas State,6,,
80,1,Sep 5 2015,4:00 PM,Sat,(25) Tennessee,59,,Bowling Green State,30,,
81,1,Sep 5 2015,7:00 PM,Sat,Texas A&amp;M,38,,(15) Arizona State,17,,
84,1,Sep 5 2015,3:30 PM,Sat,(13) UCLA,34,,Virginia,16,,
87,1,Sep 7 2015,8:00 PM,Mon,(1) Ohio State,42,@,Virginia Tech,24,,
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes
90,2,Sep 11 2015,9:00 PM,Fri,(24) Utah,24,,Utah State,14,ESPN2,
92,2,Sep 12 2015,4:00 PM,Sat,(2) Alabama,37,,Middle Tennessee State,10,SECN,
93,2,Sep 12 2015,7:00 PM,Sat,(22) Arizona,44,@,Nevada,20,CBSSN,
95,2,Sep 12 2015,12:00 PM,Sat,(6) Auburn,27,,Jacksonville State,20,SECN,
96,2,Sep 12 2015,7:30 PM,Sat,(4) Baylor,66,,Lamar,31,FSN,
99,2,Sep 12 2015,10:15 PM,Sat,Brigham Young,35,,(20) Boise State,24,ESPN2,
103,2,Sep 12 2015,12:30 PM,Sat,(12) Clemson,41,,Appalachian State,10,ESPN3,
109,2,Sep 12 2015,11:30 AM,Sat,(11) Florida State,34,,South Florida,14,ESPN,
110,2,Sep 12 2015,3:30 PM,Sat,(10) Georgia,31,@,Vanderbilt,14,CBS,
113,2,Sep 12 2015,3:30 PM,Sat,(15) Georgia Tech,65,,Tulane,10,ESPN3,
121,2,Sep 12 2015,9:15 PM,Sat,(14) Louisiana State,21,@,(25) Mississippi State,19,ESPN,
126,2,Sep 12 2015,8:00 PM,Sat,(5) Michigan State,31,,(7) Oregon,28,ABC,
128,2,Sep 12 2015,3:30 PM,Sat,(17) Mississippi,73,,Fresno State,21,ESPN2,
129,2,Sep 12 2015,7:00 PM,Sat,(21) Missouri,27,@,Arkansas State,20,ESPN3,
135,2,Sep 12 2015,3:30 PM,Sat,(9) Notre Dame,34,@,Virginia,27,ABC,
137,2,Sep 12 2015,3:30 PM,Sat,(1) Ohio State,38,,Hawaii,0,BTN,
138,2,Sep 12 2015,6:00 PM,Sat,(19) Oklahoma,31,@,(23) Tennessee,24,ESPN,
144,2,Sep 12 2015,8:00 PM,Sat,(8) Southern California,59,,Idaho,9,PAC12,
151,2,Sep 12 2015,7:00 PM,Sat,(16) Texas A&amp;M,56,,Ball State,23,ESPNU,
152,2,Sep 12 2015,3:30 PM,Sat,(3) Texas Christian,70,,Stephen F. Austin,7,FOXS1,
155,2,Sep 12 2015,4:00 PM,Sat,Toledo,16,,(18) Arkansas,12,SECN,
158,2,Sep 12 2015,10:30 PM,Sat,(13) UCLA,37,@,Nevada-Las Vegas,3,CBSSN,
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes
164,3,Sep 17 2015,7:30 PM,Thu,(11) Clemson,20,@,Louisville,17,ESPN,
167,3,Sep 18 2015,8:00 PM,Fri,(9) Florida State,14,@,Boston College,0,ESPN,
169,3,Sep 19 2015,11:00 PM,Sat,(20) Arizona,77,,Northern Arizona,13,PAC12,
179,3,Sep 19 2015,6:00 PM,Sat,(7) Georgia,52,,South Carolina,20,ESPN,
186,3,Sep 19 2015,3:30 PM,Sat,(13) Louisiana State,45,,(18) Auburn,21,CBS,
192,3,Sep 19 2015,12:00 PM,Sat,(4) Michigan State,35,,Air Force,21,ABC,
195,3,Sep 19 2015,9:15 PM,Sat,(15) Mississippi,43,@,(2) Alabama,37,ESPN,
197,3,Sep 19 2015,12:00 PM,Sat,(22) Missouri,9,,Connecticut,6,ESPN,
201,3,Sep 19 2015,12:30 PM,Sat,(23) Northwestern,19,@,Duke,10,ESPN3,
202,3,Sep 19 2015,3:30 PM,Sat,(8) Notre Dame,30,,(14) Georgia Tech,22,NBC,
204,3,Sep 19 2015,3:30 PM,Sat,(1) Ohio State,20,,Northern Illinois,13,ABC,
205,3,Sep 19 2015,12:00 PM,Sat,(16) Oklahoma,52,,Tulsa,38,FOXS1,
206,3,Sep 19 2015,3:30 PM,Sat,(25) Oklahoma State,69,,Texas-San Antonio,14,FOXS1,
207,3,Sep 19 2015,2:00 PM,Sat,(12) Oregon,61,,Georgia State,28,PAC12,
213,3,Sep 19 2015,8:00 PM,Sat,Stanford,41,@,(6) Southern California,31,ABC,
217,3,Sep 19 2015,12:00 PM,Sat,(17) Texas A&amp;M,44,,Nevada,27,SECN,
218,3,Sep 19 2015,8:00 PM,Sat,(3) Texas Christian,56,,Southern Methodist,37,FSN,
223,3,Sep 19 2015,10:30 PM,Sat,(10) UCLA,24,,(19) Brigham Young,23,FOXS1,
224,3,Sep 19 2015,10:30 PM,Sat,(21) Utah,45,@,Fresno State,24,CBSSN,
232,3,Sep 19 2015,3:30 PM,Sat,(24) Wisconsin,28,,Troy,3,BTN,
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes
235,4,Sep 25 2015,10:00 PM,Fri,(21) Stanford,42,@,Oregon State,24,FOXS1,
237,4,Sep 26 2015,4:00 PM,Sat,(12) Alabama,34,,Louisiana-Monroe,0,,
240,4,Sep 26 2015,3:00 PM,Sat,(5) Baylor,70,,Rice,17,,
246,4,Sep 26 2015,12:00 PM,Sat,Duke,34,,(20) Georgia Tech,20,,
250,4,Sep 26 2015,12:00 PM,Sat,(7) Georgia,48,,Southern,6,,
257,4,Sep 26 2015,7:30 PM,Sat,Kentucky,21,,(25) Missouri,13,,
258,4,Sep 26 2015,12:00 PM,Sat,(8) Louisiana State,34,@,Syracuse,24,,
262,4,Sep 26 2015,12:00 PM,Sat,Michigan,31,,(22) Brigham Young,0,,
263,4,Sep 26 2015,12:00 PM,Sat,(2) Michigan State,30,,Central Michigan,10,,
265,4,Sep 26 2015,7:00 PM,Sat,(3) Mississippi,27,,Vanderbilt,16,,
274,4,Sep 26 2015,8:00 PM,Sat,(17) Northwestern,24,,Ball State,19,BTN,
275,4,Sep 26 2015,3:30 PM,Sat,(6) Notre Dame,62,,Massachusetts,27,NBC,
276,4,Sep 26 2015,3:30 PM,Sat,(1) Ohio State,38,,Western Michigan,12,,
277,4,Sep 26 2015,3:30 PM,Sat,(24) Oklahoma State,30,@,Texas,27,,
282,4,Sep 26 2015,10:30 PM,Sat,(19) Southern California,42,@,Arizona State,14,,
283,4,Sep 26 2015,7:00 PM,Sat,(14) Texas A&amp;M,28,,Arkansas,21,,
284,4,Sep 26 2015,4:45 PM,Sat,(3) Texas Christian,55,@,Texas Tech,52,,
287,4,Sep 26 2015,8:00 PM,Sat,(9) UCLA,56,@,(16) Arizona,30,,
288,4,Sep 26 2015,8:30 PM,Sat,(18) Utah,62,@,(13) Oregon,20,,
291,4,Sep 26 2015,8:00 PM,Sat,(22) Wisconsin,28,,Hawaii,0,BTN,
